info_status,koi_period,koi_duration,koi_impact,koi_ror,koi_dor,koi_depth,koi_slogg,koi_srad,koi_smass,density_diff,Transit_shape
Confirmed,8.884922995,2.07004,0.069,0.114124,36.466,16053,4.5,0.843,0.821,22.77372263,0.183124
FP,5.09246539,3.659,0.161,0.014236,10.67,254,4.547,0.751,0.727,38.63636364,0.175236
FP,8.460438928,4.73492,1.061,0.47764,14.08662,76413,4.638,0.702,0.796,26.59713168,1.53864
FP,473.95103,11.778,0.1671,0.016809,308,330.6,4.02,1.81,1.252,19.43127962,0.183909
FP,0.53936593,5.434,0.988,0.015878,1.0119,145,3.301,5.302,2.05,50,1.003878
FP,36.2671673,2.065,0.214,0.022172,134.1,627.1,4.637,0.62,0.607,65.99921476,0.236172
FP,153.521361,3.893,0.1485,0.014711,302,255.2,3.951,1.921,1.2,15.97633136,0.163211
FP,359.3259,9.836,0.2279,0.014538,275.92,246.2,3.902,2.27,1.5,32.8125,0.242438
FP,161.7883271,5.31,0.267,0.273088,289.8,87750,4.327,1.212,1.142,11.70046802,0.540088
Confirmed,9.93146307,5.678,0.037,0.018094,13.607,398.6,4.28,1.22,1.035,2.631578947,0.055094
FP,567.71329,12.85,0.4247,0.015047,311,259.4,3.924,1.996,1.218,16.99346405,0.439747
FP,1.592633181,5.5605,0.003,0.022007,2.316007,633.1,4.626,0.651,0.654,54.092827,0.025007
FP,1.592634161,8.9488,0.877,0.519012,2.0461,155160,4.061,1.768,1.317,23.52941176,1.396012
FP,14.02245146,8.08619,0.189,0.130221,14.778,20083,4.401,1.05,1.012,0.4576659039,0.319221
FP,3.0031801,2.814,0.98,0.024342,2.64,374.7,4.071,1.768,1.349,25.40983607,1.004342
FP,2.252417903,1.9767,1.198,0.45607,7.32,32296,4.699,0.544,0.539,86.9474313,1.65407
FP,0.629001455,1.263,0.365,0.003604,3.61,14.7,3.948,2.059,1.375,27.21518987,0.368604
FP,9.31392071,0.971,0.1287,0.011805,73.5,163.7,4.485,0.973,1.055,4.454148472,0.140505
